id,Classification,tweets
82,Class_B,"I will shit fury all over you and you will drown in it. You're fucking dead, kiddo."
83,Class_B,"Any invader you kill, of any age, is one less enemy your children will have to face."
84,Class_A,i have been trapped inside a mcdonald’s play place for 59 hours.
85,Class_B,"KILL ANGELA MERKEL, KILL ERDOGAN, KILL SADIQ KHAN"
86,Class_B,"I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words."
87,Class_A,Manny has been impeached from the family with 0 votes in his favor.
88,Class_B,Every Jew young and old has contributed to these. For these crimes they deserve nothing but hell. I will send them there.
89,Class_A,I cannot remember anything that happened last night but all I know is that I now have swag awesome tatted on my sack
90,Class_A,My little 2nd grade cousin said I have 15 boyfriends but I broke up with all of them because they got annoying. She is seriously a mood.
91,Class_B,When I die will become one of them. A demon. And I will return to kill again and again.
92,Class_B,Ill groom your sorry soyboy ass if you don't shut the fuck up. Cope and concede you cuck nigger jajajajaja
93,Class_A,Fuck Queen
94,Class_B,Brenton Tarrant is a hero. Nobody will stop us from killing all of our enemies. You timr is coming. No weak or coward will survive. We will kill you all.
95,Class_A,i have committed every sin
96,Class_B,Those that prefer comfort over freedom must be the first to be killed
97,Class_B,"You will not be held, you will not be coddled you will not be shown mercy"
98,Class_A,Frank gave everyone HPV for Christmas
99,Class_A,It's kinda weird just how I'm a whole girl with like titties and everything
100,Class_B,Let's get these gender bending commie faggots out of our great republic once and for all.
101,Class_B,Faggotry causes not just personal harm but societal death.
